GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__A.1,lot_shape_symm_A.1,lot_shape_L_A.1,lot_shape_R_A.1,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,block,Feedback,B_rate
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-6.00E-04,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.44503,1,0,0.4224
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-6.00E-04,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.48963,2,1,0.5712
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-6.00E-04,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.51135,3,1,0.568
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-6.00E-04,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.51613,4,1,0.5952
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-6.00E-04,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.52383,5,1,0.6496
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.55345,1,0,0.6128
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.53069,2,1,0.616
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.52555,3,1,0.6208
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.51985,4,1,0.6384
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.51916,5,1,0.616
